Frame,Blur,Brightness,Contrast,Sharpness,Noise,Width,Height
frame_0000.jpg,692.27,55.38,68.7,41.19,26.31,320,240
frame_0001.jpg,708.36,55.46,68.47,41.84,26.61,320,240
frame_0002.jpg,704.58,55.86,68.51,41.84,26.54,320,240
frame_0003.jpg,705.19,56.67,68.88,42.36,26.56,320,240
frame_0004.jpg,711.22,56.79,68.99,42.37,26.67,320,240
frame_0005.jpg,708.0,56.79,69.29,42.2,26.61,320,240
frame_0006.jpg,707.68,56.6,69.59,42.27,26.6,320,240
frame_0007.jpg,704.99,56.24,69.88,41.77,26.55,320,240
frame_0008.jpg,701.83,56.04,70.48,41.52,26.49,320,240
frame_0009.jpg,694.13,55.82,70.72,40.95,26.35,320,240
frame_0010.jpg,695.44,55.49,70.83,40.88,26.37,320,240
frame_0011.jpg,698.86,55.14,70.39,40.85,26.44,320,240
motion_0000.jpg,2330.43,86.59,57.9,114.05,48.27,320,240
motion_0001.jpg,2336.94,86.83,57.97,114.2,48.34,320,240
motion_0002.jpg,2351.35,86.97,58.04,114.45,48.49,320,240
motion_0003.jpg,2381.78,87.1,58.14,114.68,48.8,320,240
motion_0004.jpg,2382.75,87.15,58.15,114.67,48.81,320,240
motion_0005.jpg,2375.6,87.13,58.12,114.59,48.74,320,240
motion_0006.jpg,2444.51,87.02,58.14,115.21,49.44,320,240
motion_0007.jpg,2435.73,86.94,58.1,115.06,49.35,320,240
motion_0008.jpg,2434.52,86.89,58.02,114.9,49.34,320,240
motion_0009.jpg,2434.84,87.05,57.99,114.72,49.34,320,240
motion_0010.jpg,2435.33,87.16,58.03,114.89,49.35,320,240
motion_0011.jpg,2433.35,87.21,58.12,114.63,49.33,320,240
motion_0012.jpg,2405.33,87.29,58.14,113.72,49.04,320,240
motion_0013.jpg,2398.73,87.19,58.13,113.56,48.98,320,240
motion_0014.jpg,2388.2,87.37,58.24,113.44,48.87,320,240
motion_0015.jpg,2378.19,87.49,58.27,113.08,48.77,320,240
motion_0016.jpg,2372.72,87.6,58.32,112.72,48.71,320,240
motion_0017.jpg,2369.34,87.9,58.43,113.02,48.68,320,240
motion_0018.jpg,2415.9,88.26,58.79,114.01,49.15,320,240
motion_0019.jpg,2420.15,88.62,59.04,113.9,49.2,320,240
motion_0020.jpg,2427.8,88.87,59.18,114.09,49.27,320,240
motion_0021.jpg,2427.43,89.43,59.6,114.22,49.27,320,240
motion_0022.jpg,2435.77,90.13,60.11,114.42,49.35,320,240
motion_0023.jpg,2435.46,91.06,60.77,114.37,49.35,320,240
motion_0024.jpg,2442.98,91.69,61.13,114.56,49.43,320,240
motion_0025.jpg,2431.24,91.53,61.78,114.6,49.31,320,240
motion_0026.jpg,2419.81,92.53,63.19,114.65,49.19,320,240
motion_0027.jpg,2420.97,93.1,64.11,114.54,49.2,320,240
motion_0028.jpg,2385.26,92.01,64.53,113.96,48.84,320,240
motion_0029.jpg,2330.92,91.05,65.42,112.91,48.28,320,240
motion_0030.jpg,2292.88,91.99,66.77,110.92,47.88,320,240
